"SRC","EPSG","Hemisferio"
"Beijing 1954 / 3-degree Gauss-Kruger zone 42",2418,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 43",2419,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 44",2420,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 45",2421,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 75E",2422,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 78E",2423,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 81E",2424,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 84E",2425,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 87E",2426,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 90E",2427,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 93E",2428,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 96E",2429,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 99E",2430,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 102E",2431,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 105E",2432,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 108E",2433,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 111E",2434,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 114E",2435,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 117E",2436,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 120E",2437,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 123E",2438,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 126E",2439,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 129E",2440,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 132E",2441,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger CM 135E",2442,"unknown"
"JGD2000 / Japan Plane Rectangular CS I",2443,"unknown"
"JGD2000 / Japan Plane Rectangular CS II",2444,"unknown"
"JGD2000 / Japan Plane Rectangular CS III",2445,"unknown"
"JGD2000 / Japan Plane Rectangular CS IV",2446,"unknown"
"JGD2000 / Japan Plane Rectangular CS V",2447,"unknown"
"JGD2000 / Japan Plane Rectangular CS VI",2448,"unknown"
"JGD2000 / Japan Plane Rectangular CS VII",2449,"unknown"
"JGD2000 / Japan Plane Rectangular CS VIII",2450,"unknown"
"JGD2000 / Japan Plane Rectangular CS IX",2451,"unknown"
"JGD2000 / Japan Plane Rectangular CS X",2452,"unknown"
"JGD2000 / Japan Plane Rectangular CS XI",2453,"unknown"
"JGD2000 / Japan Plane Rectangular CS XII",2454,"unknown"
"JGD2000 / Japan Plane Rectangular CS XIII",2455,"unknown"
"JGD2000 / Japan Plane Rectangular CS XIV",2456,"unknown"
"JGD2000 / Japan Plane Rectangular CS XV",2457,"unknown"
"JGD2000 / Japan Plane Rectangular CS XVI",2458,"unknown"
"JGD2000 / Japan Plane Rectangular CS XVII",2459,"unknown"
"JGD2000 / Japan Plane Rectangular CS XVIII",2460,"unknown"
"JGD2000 / Japan Plane Rectangular CS XIX",2461,"unknown"
"Albanian 1987 / Gauss-Kruger zone 4",2462,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 21E",2463,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 27E",2464,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 33E",2465,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 39E",2466,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 45E",2467,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 51E",2468,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 57E",2469,"unknown"
